Name,Teams,From,To,Positions
Gene Ronzani,Packers,1950,1953,Head Coach/General Manager
Emil Fischer,Packers,1948,1952,President
Arthur McBride,Browns,1946,1952,Principal Owner
Ray Bennigsen,Cardinals,1947,1951,President/General Manager
John Blackinger,49ers,1946,1951,General Manager
Curly Lambeau+,"Cardinals, Packers",1936,1951,"Head Coach/General Manager, Head Coach/Player Personnel"
John Holahan,Steelers,1945,1950,General Manager
Bo McMillin,Lions,1948,1950,Head Coach/General Manager
James Breuil,"Bills, Bisons",1946,1949,Principal Owner
Walt Driskill,Colts,1948,1949,"President/General Manager, President/Head Coach/General Manager"
Harry Thayer,"Dons, Eagles/Steelers, Eagles",1941,1949,General Manager
Charley Ewart,Eagles,1948,1948,General Manager
Alexis Thompson,"Eagles/Steelers, Eagles",1941,1948,Principal Owner
Al Ennis,Eagles,1947,1947,General Manager
Lee Joannes,Packers,1930,1947,President
Fred Mandel,Lions,1940,1947,Principal Owner
Carl Owen,Bills,1947,1947,General Manager
Charles Bidwill+,"Cardinals, Cards/Steelers",1936,1946,Principal Owner
Sam Cordovano,Bisons,1946,1946,VP/General Manager/Head Coach
Elmer Layden,,1941,1946,Commissioner
Edward Madigan,Dons,1946,1946,General Manager
Arch Wolfe,"Cardinals, Cards/Steelers",1936,1946,General Manager
Ralph Brizzolara,Bears,1942,1945,Acting President/General Manager
Jack Espey,Redskins,1936,1943,General Manager
Name,Teams,From,To,Positions
Dennis Shea,Dodgers,1942,1943,General Manager
Graham Smith,Lions,1941,1942,General Manager
Billy Evans,Rams,1941,1941,General Manager
Carl Storck,,1939,1941,League President
Dutch Clark+,"Lions, Rams",1936,1940,Head Coach/General Manager
Tom Lipscomb,Rams,1938,1940,President
Joe Carr+,,1921,1939,League President
George Richards,Lions,1936,1939,Majority Owner
W. Webber Kelly,Packers,1929,1929,President
Ray Evrard,Packers,1928,1928,President
Andrew Turnbull,Packers,1923,1927,President
Ralph Hay,Bulldogs,1920,1922,Owner
